,true_test_price,pred_from_gen,pred_shift-4,pred_shift-3,pred_shift-2,pred_shift-1,pred_shift0,pred_shift1,pred_shift2,pred_shift3,true_train_price
2018-07-30 09:30:00,,,,,,,,,,,111.25
2018-07-30 10:30:00,,,,,,,,,,,111.82
2018-07-30 11:30:00,,,,,,,,,,,111.73999999999998
2018-07-30 12:30:00,,,,,,,,,,,111.73999999999998
2018-07-30 13:30:00,,,,,,,,,,,111.73999999999998
2018-07-30 14:30:00,,,,,,,,,,,111.72999999999999
2018-07-30 15:30:00,,,,,,,,,,,111.44
2018-07-31 09:30:00,,,,,,,,,,,111.86
2018-07-31 10:30:00,,,,,,,,,,,111.76
2018-07-31 11:30:00,,,,,,,,,,,111.81
2018-07-31 12:30:00,,,,,,,,,,,111.98000000000002
2018-07-31 13:30:00,,,,,,,,,,,112.0
2018-07-31 14:30:00,,,,,,,,,,,111.86
2018-07-31 15:30:00,,,,,,,,,,,111.8
2018-08-01 09:30:00,,,,,,,,,,,111.67000000000002
2018-08-01 10:30:00,,,,,,,,,,,111.71
2018-08-01 11:30:00,,,,,,,,,,,111.41
2018-08-01 12:30:00,,,,,,,,,,,111.09
2018-08-01 13:30:00,,,,,,,,,,,111.16000000000001
2018-08-01 14:30:00,,,,,,,,,,,111.19
2018-08-01 15:30:00,,,,,,,,,,,111.27000000000001
2018-08-02 09:30:00,,,,,,,,,,,110.49000000000001
2018-08-02 10:30:00,,,,,,,,,,,110.85
2018-08-02 11:30:00,,,,,,,,,,,110.81999999999998
2018-08-02 12:30:00,,,,,,,,,,,111.11000000000001
2018-08-02 13:30:00,,,,,,,,,,,111.17
2018-08-02 14:30:00,,,,,,,,,,,111.21
2018-08-02 15:30:00,,,,,,,,,,,111.23
2018-08-03 09:30:00,,,,,,,,,,,111.29
2018-08-03 10:30:00,,,,,,,,,,,111.71
2018-08-03 11:30:00,,,,,,,,,,,111.66
2018-08-03 12:30:00,,,,,,,,,,,111.77999999999999
2018-08-03 13:30:00,,,,,,,,,,,111.85
2018-08-03 14:30:00,,,,,,,,,,,111.88
2018-08-03 15:30:00,,,,,,,,,,,111.92
2018-08-06 09:30:00,,,,,,,,,,,111.92999999999999
2018-08-06 10:30:00,,,,,,,,,,,112.04999999999998
2018-08-06 11:30:00,,,,,,,,,,,112.22
2018-08-06 12:30:00,,,,,,,,,,,112.48
2018-08-06 13:30:00,,,,,,,,,,,112.35000000000001
2018-08-06 14:30:00,,,,,,,,,,,112.35000000000001
2018-08-06 15:30:00,,,,,,,,,,,112.28
2018-08-07 09:30:00,,,,,,,,,,,112.44
2018-08-07 10:30:00,,,,,,,,,,,112.64
2018-08-07 11:30:00,,,,,,,,,,,112.74
2018-08-07 12:30:00,,,,,,,,,,,112.78
2018-08-07 13:30:00,,,,,,,,,,,112.78
2018-08-07 14:30:00,,,,,,,,,,,112.75999999999999
2018-08-07 15:30:00,,,,,,,,,,,112.75999999999999
2018-08-08 09:30:00,,,,,,,,,,,112.50000000000001
2018-08-08 10:30:00,,,,,,,,,,,112.36
2018-08-08 11:30:00,,,,,,,,,,,112.49
2018-08-08 12:30:00,,,,,,,,,,,112.49
2018-08-08 13:30:00,,,,,,,,,,,112.42
2018-08-08 14:30:00,,,,,,,,,,,112.52
2018-08-08 15:30:00,,,,,,,,,,,112.55999999999999
2018-08-09 09:30:00,,,,,,,,,,,112.38
2018-08-09 10:30:00,,,,,,,,,,,112.38
2018-08-09 11:30:00,,,,,,,,,,,112.38
2018-08-09 12:30:00,,,,,,,,,,,112.2
2018-08-09 13:30:00,,,,,,,,,,,112.28
2018-08-09 14:30:00,,,,,,,,,,,112.24999999999999
2018-08-09 15:30:00,,,,,,,,,,,112.26
2018-08-10 09:30:00,,,,,,,,,,,111.43
2018-08-10 10:30:00,,,,,,,,,,,111.34
2018-08-10 11:30:00,,,,,,,,,,,111.59
2018-08-10 12:30:00,,,,,,,,,,,111.57
2018-08-10 13:30:00,,,,,,,,,,,111.44
2018-08-10 14:30:00,,,,,,,,,,,111.18
2018-08-10 15:30:00,,,,,,,,,,,111.47000000000001
2018-08-13 09:30:00,,,,,,,,,,,111.45
2018-08-13 10:30:00,,,,,,,,,,,111.44
2018-08-13 11:30:00,,,,,,,,,,,111.16000000000001
2018-08-13 12:30:00,,,,,,,,,,,110.81
2018-08-13 13:30:00,,,,,,,,,,,110.96000000000001
2018-08-13 14:30:00,,,,,,,,,,,111.1
2018-08-13 15:30:00,,,,,,,,,,,110.87
2018-08-14 09:30:00,,,,,,,,,,,111.06999999999998
2018-08-14 10:30:00,,,,,,,,,,,111.41
2018-08-14 11:30:00,,,,,,,,,,,111.51000000000002
2018-08-14 12:30:00,,,,,,,,,,,111.52000000000001
2018-08-14 13:30:00,,,,,,,,,,,111.52999999999999
2018-08-14 14:30:00,,,,,,,,,,,111.57
2018-08-14 15:30:00,,,,,,,,,,,111.57
2018-08-15 09:30:00,,,,,,,,,,,110.97
2018-08-15 10:30:00,,,,,,,,,,,110.41
2018-08-15 11:30:00,,,,,,,,,,,110.57
2018-08-15 12:30:00,,,,,,,,,,,110.74
2018-08-15 13:30:00,,,,,,,,,,,110.64000000000001
2018-08-15 14:30:00,,,,,,,,,,,110.37
2018-08-15 15:30:00,,,,,,,,,,,110.68000000000002
2018-08-16 09:30:00,,,,,,,,,,,111.34
2018-08-16 10:30:00,,,,,,,,,,,111.65
2018-08-16 11:30:00,,,,,,,,,,,112.0
2018-08-16 12:30:00,,,,,,,,,,,112.12
2018-08-16 13:30:00,,,,,,,,,,,112.09999999999998
2018-08-16 14:30:00,,,,,,,,,,,112.02
2018-08-16 15:30:00,,,,,,,,,,,112.13
2018-08-17 09:30:00,,,,,,,,,,,111.96
2018-08-17 10:30:00,,,,,,,,,,,112.16
2018-08-17 11:30:00,,,,,,,,,,,112.33
2018-08-17 12:30:00,,,,,,,,,,,112.39000000000001
2018-08-17 13:30:00,,,,,,,,,,,112.30000000000001
2018-08-17 14:30:00,,,,,,,,,,,112.68
2018-08-17 15:30:00,,,,,,,,,,,112.62
2018-08-20 09:30:00,,,,,,,,,,,112.67
2018-08-20 10:30:00,,,,,,,,,,,112.67
2018-08-20 11:30:00,,,,,,,,,,,112.94
2018-08-20 12:30:00,,,,,,,,,,,113.07000000000001
2018-08-20 13:30:00,,,,,,,,,,,113.03
2018-08-20 14:30:00,,,,,,,,,,,113.01000000000002
2018-08-20 15:30:00,,,,,,,,,,,113.07000000000001
2018-08-21 09:30:00,,,,,,,,,,,113.17000000000002
2018-08-21 10:30:00,,,,,,,,,,,113.17000000000002
2018-08-21 11:30:00,,,,,,,,,,,113.38000000000001
2018-08-21 12:30:00,,,,,,,,,,,113.57
2018-08-21 13:30:00,,,,,,,,,,,113.61
2018-08-21 14:30:00,,,,,,,,,,,113.51
2018-08-21 15:30:00,,,,,,,,,,,113.48999999999998
2018-08-22 09:30:00,,,,,,,,,,,113.14
2018-08-22 10:30:00,,,,,,,,,,,112.96999999999998
2018-08-22 11:30:00,,,,,,,,,,,113.25
2018-08-22 12:30:00,,,,,,,,,,,113.15
2018-08-22 13:30:00,,,,,,,,,,,113.14
2018-08-22 14:30:00,,,,,,,,,,,113.0
2018-08-22 15:30:00,,,,,,,,,,,113.02000000000001
2018-08-23 09:30:00,,,,,,,,,,,112.71999999999998
2018-08-23 10:30:00,,,,,,,,,,,112.96999999999998
2018-08-23 11:30:00,,,,,,,,,,,112.66000000000001
2018-08-23 12:30:00,,,,,,,,,,,112.71000000000001
2018-08-23 13:30:00,,,,,,,,,,,112.63
2018-08-23 14:30:00,,,,,,,,,,,112.63
2018-08-23 15:30:00,,,,,,,,,,,112.67
2018-08-24 09:30:00,,,,,,,,,,,112.90000000000002
2018-08-24 10:30:00,,,,,,,,,,,112.90000000000002
2018-08-24 11:30:00,,,,,,,,,,,112.90000000000002
2018-08-24 12:30:00,,,,,,,,,,,113.25
2018-08-24 13:30:00,,,,,,,,,,,113.15
2018-08-24 14:30:00,,,,,,,,,,,113.14
2018-08-24 15:30:00,,,,,,,,,,,113.11
2018-08-27 09:30:00,,,,,,,,,,,113.48999999999998
2018-08-27 10:30:00,,,,,,,,,,,113.89000000000001
2018-08-27 11:30:00,,,,,,,,,,,113.89000000000001
2018-08-27 12:30:00,,,,,,,,,,,113.97
2018-08-27 13:30:00,,,,,,,,,,,113.92
2018-08-27 14:30:00,,,,,,,,,,,113.97
2018-08-27 15:30:00,,,,,,,,,,,113.89000000000001
2018-08-28 09:30:00,,,,,,,,,,,113.99999999999999
2018-08-28 10:30:00,,,,,,,,,,,113.95999999999998
2018-08-28 11:30:00,,,,,,,,,,,113.99
2018-08-28 12:30:00,,,,,,,,,,,113.77
2018-08-28 13:30:00,,,,,,,,,,,113.76
2018-08-28 14:30:00,,,,,,,,,,,113.89000000000001
2018-08-28 15:30:00,,,,,,,,,,,113.78
2018-08-29 09:30:00,,,,,,,,,,,113.87
2018-08-29 10:30:00,,,,,,,,,,,113.86
2018-08-29 11:30:00,,,,,,,,,,,114.18
2018-08-29 12:30:00,,,,,,,,,,,114.18
2018-08-29 13:30:00,,,,,,,,,,,114.18
2018-08-29 14:30:00,,,,,,,,,,,114.06
2018-08-29 15:30:00,,,,,,,,,,,114.18
2018-08-30 09:30:00,,,,,,,,,,,113.72
2018-08-30 10:30:00,,,,,,,,,,,113.72
2018-08-30 11:30:00,,,,,,,,,,,113.72
2018-08-30 12:30:00,,,,,,,,,,,113.52
2018-08-30 13:30:00,,,,,,,,,,,113.61
2018-08-30 14:30:00,,,,,,,,,,,113.37000000000002
2018-08-30 15:30:00,,,,,,,,,,,113.36
2018-08-31 09:30:00,,,,,,,,,,,113.11
2018-08-31 10:30:00,,,,,,,,,,,113.34
2018-08-31 11:30:00,,,,,,,,,,,113.11
2018-08-31 12:30:00,,,,,,,,,,,112.95
2018-08-31 13:30:00,,,,,,,,,,,112.99
2018-08-31 14:30:00,,,,,,,,,,,112.98
2018-08-31 15:30:00,,,,,,,,,,,113.07999999999998
2018-09-03 09:30:00,,,,,,,,,,,113.07999999999998
2018-09-03 10:30:00,,,,,,,,,,,113.07999999999998
2018-09-03 11:30:00,,,,,,,,,,,113.07999999999998
2018-09-03 12:30:00,,,,,,,,,,,113.07999999999998
2018-09-03 13:30:00,,,,,,,,,,,113.07999999999998
2018-09-03 14:30:00,,,,,,,,,,,113.07999999999998
2018-09-03 15:30:00,,,,,,,,,,,113.07999999999998
2018-09-04 09:30:00,,,,,,,,,,,113.09
2018-09-04 10:30:00,,,,,,,,,,,113.19
2018-09-04 11:30:00,,,,,,,,,,,112.98
2018-09-04 12:30:00,,,,,,,,,,,112.85
2018-09-04 13:30:00,,,,,,,,,,,113.01000000000002
2018-09-04 14:30:00,,,,,,,,,,,113.11999999999999
2018-09-04 15:30:00,,,,,,,,,,,113.05
2018-09-05 09:30:00,,,,,,,,,,,112.76999999999998
2018-09-05 10:30:00,,,,,,,,,,,113.15
2018-09-05 11:30:00,,,,,,,,,,,113.22000000000001
2018-09-05 12:30:00,,,,,,,,,,,113.5
2018-09-05 13:30:00,,,,,,,,,,,113.53000000000002
2018-09-05 14:30:00,,,,,,,,,,,113.53000000000002
2018-09-05 15:30:00,,,,,,,,,,,113.63
2018-09-06 09:30:00,,,,,,,,,,,113.42999999999999
2018-09-06 10:30:00,,,,,,,,,,,113.58999999999999
2018-09-06 11:30:00,,,,,,,,,,,113.22000000000001
2018-09-06 12:30:00,,,,,,,,,,,113.23
2018-09-06 13:30:00,,,,,,,,,,,113.11999999999999
2018-09-06 14:30:00,,,,,,,,,,,113.29
2018-09-06 15:30:00,,,,,,,,,,,113.45
2018-09-07 09:30:00,,,,,,,,,,,112.85
2018-09-07 10:30:00,,,,,,,,,,,112.85
2018-09-07 11:30:00,,,,,,,,,,,113.25
2018-09-07 12:30:00,,,,,,,,,,,112.91
2018-09-07 13:30:00,,,,,,,,,,,112.91
2018-09-07 14:30:00,,,,,,,,,,,113.06000000000002
2018-09-07 15:30:00,,,,,,,,,,,113.1
2018-09-10 09:30:00,,,,,,,,,,,113.38000000000001
2018-09-10 10:30:00,,,,,,,,,,,113.65
2018-09-10 11:30:00,,,,,,,,,,,113.59999999999998
2018-09-10 12:30:00,,,,,,,,,,,113.35
2018-09-10 13:30:00,,,,,,,,,,,113.4
2018-09-10 14:30:00,,,,,,,,,,,113.48999999999998
2018-09-10 15:30:00,,,,,,,,,,,113.4
2018-09-11 09:30:00,,,,,,,,,,,112.96
2018-09-11 10:30:00,,,,,,,,,,,113.2
2018-09-11 11:30:00,,,,,,,,,,,113.39
2018-09-11 12:30:00,,,,,,,,,,,113.39
2018-09-11 13:30:00,,,,,,,,,,,113.61
2018-09-11 14:30:00,,,,,,,,,,,113.54
2018-09-11 15:30:00,,,,,,,,,,,113.5
2018-09-12 09:30:00,,,,,,,,,,,113.42999999999999
2018-09-12 10:30:00,,,,,,,,,,,113.53000000000002
2018-09-12 11:30:00,,,,,,,,,,,113.85000000000001
2018-09-12 12:30:00,,,,,,,,,,,113.53000000000002
2018-09-12 13:30:00,,,,,,,,,,,113.58000000000001
2018-09-12 14:30:00,,,,,,,,,,,113.53000000000002
2018-09-12 15:30:00,,,,,,,,,,,113.69000000000001
2018-09-13 09:30:00,,,,,,,,,,,113.77
2018-09-13 10:30:00,,,,,,,,,,,113.83999999999999
2018-09-13 11:30:00,,,,,,,,,,,113.56
2018-09-13 12:30:00,,,,,,,,,,,113.81
2018-09-13 13:30:00,,,,,,,,,,,113.78
2018-09-13 14:30:00,,,,,,,,,,,113.79999999999998
2018-09-13 15:30:00,,,,,,,,,,,113.82
2018-09-14 09:30:00,,,,,,,,,,,113.71
2018-09-14 10:30:00,,,,,,,,,,,113.77
2018-09-14 11:30:00,,,,,,,,,,,113.95999999999998
2018-09-14 12:30:00,,,,,,,,,,,113.86
2018-09-14 13:30:00,,,,,,,,,,,113.81
2018-09-14 14:30:00,,,,,,,,,,,113.88
2018-09-14 15:30:00,,,,,,,,,,,113.94
2018-09-17 09:30:00,,,,,,,,,,,114.02
2018-09-17 10:30:00,,,,,,,,,,,114.20000000000002
2018-09-17 11:30:00,,,,,,,,,,,114.20000000000002
2018-09-17 12:30:00,,,,,,,,,,,114.09000000000002
2018-09-17 13:30:00,,,,,,,,,,,114.09000000000002
2018-09-17 14:30:00,,,,,,,,,,,114.01
2018-09-17 15:30:00,,,,,,,,,,,113.89000000000001
2018-09-18 09:30:00,,,,,,,,,,,114.19
2018-09-18 10:30:00,,,,,,,,,,,114.20000000000002
2018-09-18 11:30:00,,,,,,,,,,,114.35
2018-09-18 12:30:00,,,,,,,,,,,114.38
2018-09-18 13:30:00,,,,,,,,,,,114.44
2018-09-18 14:30:00,,,,,,,,,,,114.59
2018-09-18 15:30:00,,,,,,,,,,,114.55
2018-09-19 09:30:00,,,,,,,,,,,114.33
2018-09-19 10:30:00,,,,,,,,,,,114.96
2018-09-19 11:30:00,,,,,,,,,,,114.92000000000002
2018-09-19 12:30:00,,,,,,,,,,,115.02999999999999
2018-09-19 13:30:00,,,,,,,,,,,114.97999999999999
2018-09-19 14:30:00,,,,,,,,,,,114.97999999999999
2018-09-19 15:30:00,,,,,,,,,,,114.89
2018-09-20 09:30:00,,,,,,,,,,,115.32
2018-09-20 10:30:00,,,,,,,,,,,115.2
2018-09-20 11:30:00,,,,,,,,,,,115.36
2018-09-20 12:30:00,,,,,,,,,,,115.48000000000002
2018-09-20 13:30:00,,,,,,,,,,,115.48000000000002
2018-09-20 14:30:00,,,,,,,,,,,115.61
2018-09-20 15:30:00,,,,,,,,,,,115.61
2018-09-21 09:30:00,,,,,,,,,,,115.87
2018-09-21 10:30:00,,,,,,,,,,,115.84
2018-09-21 11:30:00,,,,,,,,,,,115.80000000000001
2018-09-21 12:30:00,,,,,,,,,,,115.81999999999998
2018-09-21 13:30:00,,,,,,,,,,,115.79000000000002
2018-09-21 14:30:00,,,,,,,,,,,115.80000000000001
2018-09-21 15:30:00,,,,,,,,,,,115.80000000000001
2018-09-24 09:30:00,,,,,,,,,,,115.63
2018-09-24 10:30:00,,,,,,,,,,,115.09
2018-09-24 11:30:00,,,,,,,,,,,114.98999999999998
2018-09-24 12:30:00,,,,,,,,,,,114.88000000000001
2018-09-24 13:30:00,,,,,,,,,,,114.74
2018-09-24 14:30:00,,,,,,,,,,,114.88000000000001
2018-09-24 15:30:00,,,,,,,,,,,114.9
2018-09-25 09:30:00,,,,,,,,,,,115.16
2018-09-25 10:30:00,,,,,,,,,,,114.97
2018-09-25 11:30:00,,,,,,,,,,,114.97
2018-09-25 12:30:00,,,,,,,,,,,114.89
2018-09-25 13:30:00,,,,,,,,,,,114.66999999999999
2018-09-25 14:30:00,,,,,,,,,,,114.61000000000001
2018-09-25 15:30:00,,,,,,,,,,,114.57000000000001
2018-09-26 09:30:00,,,,,,,,,,,114.41000000000001
2018-09-26 10:30:00,,,,,,,,,,,114.41000000000001
2018-09-26 11:30:00,,,,,,,,,,,114.41000000000001
2018-09-26 12:30:00,,,,,,,,,,,114.61999999999999
2018-09-26 13:30:00,,,,,,,,,,,114.61999999999999
2018-09-26 14:30:00,,,,,,,,,,,114.66999999999999
2018-09-26 15:30:00,,,,,,,,,,,114.38
2018-09-27 09:30:00,,,,,,,,,,,113.9
2018-09-27 10:30:00,,,,,,,,,,,114.18
2018-09-27 11:30:00,,,,,,,,,,,114.29000000000002
2018-09-27 12:30:00,,,,,,,,,,,114.44
2018-09-27 13:30:00,,,,,,,,,,,114.44
2018-09-27 14:30:00,,,,,,,,,,,114.13
2018-09-27 15:30:00,,,,,,,,,,,113.89000000000001
2018-09-28 09:30:00,,,,,,,,,,,113.48999999999998
2018-09-28 10:30:00,,,,,,,,,,,113.86
2018-09-28 11:30:00,,,,,,,,,,,113.98
2018-09-28 12:30:00,,,,,,,,,,,113.98
2018-09-28 13:30:00,,,,,,,,,,,113.95999999999998
2018-09-28 14:30:00,,,,,,,,,,,113.93000000000002
2018-09-28 15:30:00,,,,,,,,,,,113.74999999999999
2018-10-01 09:30:00,,,,,,,,,,,114.26999999999998
2018-10-01 10:30:00,,,,,,,,,,,114.54
2018-10-01 11:30:00,,,,,,,,,,,114.39
2018-10-01 12:30:00,,,,,,,,,,,114.26
2018-10-01 13:30:00,,,,,,,,,,,114.26
2018-10-01 14:30:00,,,,,,,,,,,114.33
2018-10-01 15:30:00,,,,,,,,,,,114.05000000000001
2018-10-02 09:30:00,,,,,,,,,,,114.15999999999998
2018-10-02 10:30:00,,,,,,,,,,,114.08
2018-10-02 11:30:00,,,,,,,,,,,114.18
2018-10-02 12:30:00,,,,,,,,,,,114.41000000000001
2018-10-02 13:30:00,,,,,,,,,,,114.46999999999998
2018-10-02 14:30:00,,,,,,,,,,,114.58
2018-10-02 15:30:00,,,,,,,,,,,114.39
2018-10-03 09:30:00,,,,,,,,,,,114.8
2018-10-03 10:30:00,,,,,,,,,,,114.82
2018-10-03 11:30:00,,,,,,,,,,,114.85
2018-10-03 12:30:00,,,,,,,,,,,114.95
2018-10-03 13:30:00,,,,,,,,,,,114.9
2018-10-03 14:30:00,,,,,,,,,,,114.86999999999999
2018-10-03 15:30:00,,,,,,,,,,,114.43
2018-10-04 09:30:00,,,,,,,,,,,114.35
2018-10-04 10:30:00,,,,,,,,,,,114.35
2018-10-04 11:30:00,,,,,,,,,,,114.44
2018-10-04 12:30:00,,,,,,,,,,,114.13
2018-10-04 13:30:00,,,,,,,,,,,113.98
2018-10-04 14:30:00,,,,,,,,,,,113.88
2018-10-04 15:30:00,,,,,,,,,,,114.28
2018-10-05 09:30:00,,,,,,,,,,,114.59
2018-10-05 10:30:00,,,,,,,,,,,114.61999999999999
2018-10-05 11:30:00,,,,,,,,,,,114.30999999999999
2018-10-05 12:30:00,,,,,,,,,,,113.95999999999998
2018-10-05 13:30:00,,,,,,,,,,,113.83999999999999
2018-10-05 14:30:00,,,,,,,,,,,113.99999999999999
2018-10-05 15:30:00,,,,,,,,,,,114.01
2018-10-08 09:30:00,,,,,,,,,,,113.87
2018-10-08 10:30:00,,,,,,,,,,,114.22
2018-10-08 11:30:00,,,,,,,,,,,114.21000000000001
2018-10-08 12:30:00,,,,,,,,,,,114.22
2018-10-08 13:30:00,,,,,,,,,,,114.21000000000001
2018-10-08 14:30:00,,,,,,,,,,,114.7
2018-10-08 15:30:00,,,,,,,,,,,114.76000000000002
2018-10-09 09:30:00,,,,,,,,,,,114.49
2018-10-09 10:30:00,,,,,,,,,,,114.61000000000001
2018-10-09 11:30:00,,,,,,,,,,,114.58
2018-10-09 12:30:00,,,,,,,,,,,114.54
2018-10-09 13:30:00,,,,,,,,,,,114.46
2018-10-09 14:30:00,,,,,,,,,,,114.59
2018-10-09 15:30:00,,,,,,,,,,,114.33
2018-10-10 09:30:00,,,,,,,,,,,114.38
2018-10-10 10:30:00,,,,,,,,,,,114.02
2018-10-10 11:30:00,,,,,,,,,,,113.58000000000001
2018-10-10 12:30:00,,,,,,,,,,,113.42000000000002
2018-10-10 13:30:00,,,,,,,,,,,113.35
2018-10-10 14:30:00,,,,,,,,,,,112.95
2018-10-10 15:30:00,,,,,,,,,,,112.51
2018-10-11 09:30:00,,,,,,,,,,,111.03
2018-10-11 10:30:00,,,,,,,,,,,110.77
2018-10-11 11:30:00,,,,,,,,,,,109.87999999999998
2018-10-11 12:30:00,,,,,,,,,,,110.56
2018-10-11 13:30:00,,,,,,,,,,,110.2
2018-10-11 14:30:00,,,,,,,,,,,109.46999999999998
2018-10-11 15:30:00,,,,,,,,,,,109.40000000000002
2018-10-12 09:30:00,,,,,,,,,,,109.57000000000001
2018-10-12 10:30:00,,,,,,,,,,,109.01
2018-10-12 11:30:00,,,,,,,,,,,109.18
2018-10-12 12:30:00,,,,,,,,,,,108.53000000000002
2018-10-12 13:30:00,,,,,,,,,,,108.27999999999999
2018-10-12 14:30:00,,,,,,,,,,,108.37000000000002
2018-10-12 15:30:00,,,,,,,,,,,109.12
2018-10-15 09:30:00,,,,,,,,,,,109.06
2018-10-15 10:30:00,,,,,,,,,,,109.35999999999999
2018-10-15 11:30:00,,,,,,,,,,,109.66999999999999
2018-10-15 12:30:00,,,,,,,,,,,109.30999999999999
2018-10-15 13:30:00,,,,,,,,,,,109.54
2018-10-15 14:30:00,,,,,,,,,,,109.45000000000002
2018-10-15 15:30:00,,,,,,,,,,,109.46999999999998
2018-10-16 09:30:00,,,,,,,,,,,109.46999999999998
2018-10-16 10:30:00,,,,,,,,,,,109.71
2018-10-16 11:30:00,,,,,,,,,,,110.2
2018-10-16 12:30:00,,,,,,,,,,,110.1
2018-10-16 13:30:00,,,,,,,,,,,110.38
2018-10-16 14:30:00,,,,,,,,,,,110.59000000000002
2018-10-16 15:30:00,,,,,,,,,,,110.36
2018-10-17 09:30:00,,,,,,,,,,,110.4
2018-10-17 10:30:00,,,,,,,,,,,110.17999999999999
2018-10-17 11:30:00,,,,,,,,,,,110.28000000000002
2018-10-17 12:30:00,,,,,,,,,,,110.94
2018-10-17 13:30:00,,,,,,,,,,,110.97
2018-10-17 14:30:00,,,,,,,,,,,110.68000000000002
2018-10-17 15:30:00,,,,,,,,,,,110.80000000000001
2018-10-18 09:30:00,,,,,,,,,,,110.44000000000001
2018-10-18 10:30:00,,,,,,,,,,,110.76
2018-10-18 11:30:00,,,,,,,,,,,110.53999999999999
2018-10-18 12:30:00,,,,,,,,,,,109.97000000000001
2018-10-18 13:30:00,,,,,,,,,,,109.64
2018-10-18 14:30:00,,,,,,,,,,,109.62999999999998
2018-10-18 15:30:00,,,,,,,,,,,109.66999999999999
2018-10-19 09:30:00,,,,,,,,,,,109.77000000000001
2018-10-19 10:30:00,,,,,,,,,,,110.47
2018-10-19 11:30:00,,,,,,,,,,,110.44000000000001
2018-10-19 12:30:00,,,,,,,,,,,110.17
2018-10-19 13:30:00,,,,,,,,,,,110.42
2018-10-19 14:30:00,,,,,,,,,,,110.04
2018-10-19 15:30:00,,,,,,,,,,,110.18999999999998
2018-10-22 09:30:00,,,,,,,,,,,110.16
2018-10-22 10:30:00,,,,,,,,,,,108.99
2018-10-22 11:30:00,,,,,,,,,,,109.27
2018-10-22 12:30:00,,,,,,,,,,,108.88
2018-10-22 13:30:00,,,,,,,,,,,108.99
2018-10-22 14:30:00,,,,,,,,,,,108.92
2018-10-22 15:30:00,,,,,,,,,,,109.03999999999999
2018-10-23 09:30:00,,,,,,,,,,,107.44999999999999
2018-10-23 10:30:00,,,,,,,,,,,106.91
2018-10-23 11:30:00,,,,,,,,,,,107.49
2018-10-23 12:30:00,,,,,,,,,,,107.48
2018-10-23 13:30:00,,,,,,,,,,,107.99
